x-axis,value,Transformation,Category
BEL,350.0,Count,Investor Country
BGR,205.0,Count,Investor Country
BRA,122.0,Count,Investor Country
CAN,2114.0,Count,Investor Country
CHE,1122.0,Count,Investor Country
CHL,637.0,Count,Investor Country
CHN,1525.0,Count,Investor Country
DEU,1788.0,Count,Investor Country
DNK,431.0,Count,Investor Country
ESP,1442.0,Count,Investor Country
EST,124.0,Count,Investor Country
FIN,336.0,Count,Investor Country
FRA,2228.0,Count,Investor Country
GBR,5307.0,Count,Investor Country
HKG,622.0,Count,Investor Country
IND,677.0,Count,Investor Country
IRL,513.0,Count,Investor Country
ISR,1688.0,Count,Investor Country
ITA,377.0,Count,Investor Country
JPN,907.0,Count,Investor Country
KOR,428.0,Count,Investor Country
LUX,163.0,Count,Investor Country
MEX,139.0,Count,Investor Country
MUS,107.0,Count,Investor Country
NLD,437.0,Count,Investor Country
NOR,166.0,Count,Investor Country
PRT,118.0,Count,Investor Country
RUS,419.0,Count,Investor Country
SGP,535.0,Count,Investor Country
SWE,555.0,Count,Investor Country
TWN,137.0,Count,Investor Country
USA,68050.0,Count,Investor Country
ARG,313536986.0,Sum,Company Country
AUS,2668638987.0478063,Sum,Company Country
AUT,744941254.087382,Sum,Company Country
BEL,1515716651.6881983,Sum,Company Country
BRA,2680570239.5783753,Sum,Company Country
CAN,14556735439.907534,Sum,Company Country
CHE,3806571618.280721,Sum,Company Country
CHL,54596651.0,Sum,Company Country
CHN,58370972633.52442,Sum,Company Country
DEU,8601504428.737595,Sum,Company Country
DNK,1426823698.2806044,Sum,Company Country
ESP,3383620918.8362203,Sum,Company Country
FIN,1148650223.1157067,Sum,Company Country
FRA,7280995927.517009,Sum,Company Country
GBR,26850719584.500576,Sum,Company Country
HKG,1309391565.0,Sum,Company Country
IND,21417914890.127594,Sum,Company Country
IRL,1981676045.8006792,Sum,Company Country
ISR,7554743532.483116,Sum,Company Country
ITA,1052416570.5783556,Sum,Company Country
JPN,3296355102.3658667,Sum,Company Country
KOR,2655254276.262295,Sum,Company Country
MEX,696833177.0722892,Sum,Company Country
NLD,5350469909.73702,Sum,Company Country
NOR,1329798849.983816,Sum,Company Country
POL,190262516.6564762,Sum,Company Country
RUS,10085167405.082172,Sum,Company Country
SGP,3361411581.1884403,Sum,Company Country
SWE,2324297971.1624436,Sum,Company Country
TUR,708402081.0,Sum,Company Country
USA,541081208252.49554,Sum,Company Country
ARG,381581.28042328043,Average,Investor Country
AUS,2907590.327139814,Average,Investor Country
BEL,4618936.586190762,Average,Investor Country
BGR,131384.8510989685,Average,Investor Country
BRA,4165862.572583958,Average,Investor Country
CAN,4219309.7687187465,Average,Investor Country
CHE,4971913.512690038,Average,Investor Country
CHL,83693.23893962672,Average,Investor Country
CHN,19666753.859359983,Average,Investor Country
DEU,4284793.7743365215,Average,Investor Country
DNK,4396893.678511015,Average,Investor Country
ESP,865198.9469025778,Average,Investor Country
EST,347847.28187742375,Average,Investor Country
FIN,2127943.450198386,Average,Investor Country
FRA,2856489.9634498823,Average,Investor Country
GBR,3625670.6402841047,Average,Investor Country
HKG,10606986.470909325,Average,Investor Country
IND,3805817.4967885497,Average,Investor Country
IRL,2788342.233918815,Average,Investor Country
ISR,3130131.883813251,Average,Investor Country
ITA,1990026.9079821983,Average,Investor Country
JPN,5594820.013703805,Average,Investor Country
KOR,2348938.8636564887,Average,Investor Country
LUX,6439234.136652609,Average,Investor Country
MEX,862797.0868928202,Average,Investor Country
MUS,4975377.688918557,Average,Investor Country
NLD,4406085.210367792,Average,Investor Country
NOR,3993816.616590222,Average,Investor Country
PRT,2129020.9011659855,Average,Investor Country
RUS,10067345.047110332,Average,Investor Country
SGP,8465980.39987397,Average,Investor Country
SWE,3948817.635435992,Average,Investor Country
TWN,6765342.169184427,Average,Investor Country
USA,5310623.763509195,Average,Investor Country
Communication Services,15580.0,Count,Sector
Consumer Discretionary,17147.0,Count,Sector
Consumer Staples,2154.0,Count,Sector
Energy,3032.0,Count,Sector
Financials,8840.0,Count,Sector
Health Care,15282.0,Count,Sector
Industrials,18095.0,Count,Sector
Information Technology,39926.0,Count,Sector
Materials,648.0,Count,Sector
Real Estate,2130.0,Count,Sector
Utilities,562.0,Count,Sector
Communication Services,138912671856.0,Sum,Sector
Consumer Discretionary,131950921987.0,Sum,Sector
Consumer Staples,19999777804.0,Sum,Sector
Energy,57873742409.0,Sum,Sector
Financials,88060144629.0,Sum,Sector
Health Care,160913913173.0,Sum,Sector
Industrials,200253167432.0,Sum,Sector
Information Technology,370200413774.0,Sum,Sector
Materials,8858534363.0,Sum,Sector
Real Estate,18258754965.0,Sum,Sector
Utilities,11467476577.0,Sum,Sector
Communication Services,8916089.336071886,Average,Sector
Consumer Discretionary,7695277.423864232,Average,Sector
Consumer Staples,9284947.91272052,Average,Sector
Energy,19087645.913258575,Average,Sector
Financials,9961554.822285067,Average,Sector
Health Care,10529637.035270253,Average,Sector
Industrials,11066768.026084553,Average,Sector
Information Technology,9272163.847467816,Average,Sector
Materials,13670577.720679013,Average,Sector
Real Estate,8572185.429577464,Average,Sector
Utilities,20404762.59252669,Average,Sector
