index,reg,svr,dtr,frequency
1,2.722276318181826,3.230928845360586,2.722276318181826,282
2,2.1957688474495294,2.781021654974623,2.1957688474495294,247
3,1.471243685665518,2.037662258182953,1.471243685665518,309
4,0.8615967356915535,1.3350451433194663,0.8615967356915535,399
5,1.3946161522289868,1.2549771912504635,1.3946161522289868,496
6,1.4997087299668366,1.3313651697623985,1.4997087299668366,494
7,1.2700809506576574,0.9910866536129118,1.2700809506576574,551
8,0.9390252543065084,0.5973755300129682,0.9390252543065084,679
9,0.7683806629873916,0.6086720802379251,0.7683806629873916,924
10,0.8850660078371732,1.0975989086995397,0.8850660078371732,970
