funding_round_permalink,interval,funding_round,company_country_code,company_sector,time_since_first_investment,time_since_last_investment,company_age,avg_time_between_rounds,investor_country_code,investor_name
/funding-round/88d16ca98f7e6dc906bac1703dc19a9b,"[ 791647 , 1300000 )",seed,DNK,['Consumer Discretionary'],17.57,17.57,107.07,1.0,['DNK'],['Accelerace']
/funding-round/6ee15aea63d7886a78a36087bcf1e0c2,"[ 791647 , 1300000 )",seed,HKG,"['Information Technology', 'Communication Services']",9.67,9.67,35.57,1.0,['CHN' 'CAN' 'GBR'],['Hugo Barra' 'Ryan Holmes' 'Shakil Khan' 'Steve Kirsch']
/funding-round/10a309c3bb517d34b7022a1b5cde641e,"[ 791647 , 1300000 )",seed,NLD,"['Information Technology', 'Industrials']",11.27,7.1,40.67,2.08,['NLD'],['Keadyn']
/funding-round/2f80b4ca381821b94e052e73adde2128,"[ 10000000 , 20000000 )",venture B,USA,['Health Care'],33.9,26.4,132.97,3.75,['USA' 'RUS'],['Domain Associates' 'RusnanoMedInvest']
/funding-round/c86e87d6828374c36ec67f71eeb47dc7,"[ 10000000 , 20000000 )",venture D,USA,['Health Care'],98.47,65.57,193.87,16.45,['USA'],['Domain Associates' 'Montreux Equity Partners' 'SR One']
/funding-round/3b9145bcd74acddf4dfcf80e47fb3914,"[ 6000000 , 10000000 )",venture B,USA,"['Industrials', 'Consumer Discretionary']",114.33,114.33,218.2,1.0,['USA' 'BEL'],"['Crescendo Ventures' 'Dynafund Ventures'
 'Morgan Stanley Venture Partners' 'Tredegar Investments' 'Unaxis Optics']"
/funding-round/37115bff427e1c07be53840f72ae51b4,"[ 3791804 , 6000000 )",venture D,FRA,['Information Technology'],44.9,18.93,100.1,12.98,['FRA' 'USA'],"['Alven Capital' 'Kernel Investissements' 'Clément Buyse'
 'Jonathan Benhamou']"
/funding-round/be666c84033fce09a41949ec652e4152,"[ 20000000 , ... )",venture E,FRA,['Information Technology'],44.9,18.93,100.1,12.98,['USA' 'FRA'],['Accel' 'Alven Capital' 'Kernel Investissements']
/funding-round/c5f0edbbf6a5f794cb7629732b04eea9,"[ 10000000 , 20000000 )",venture D,USA,['Health Care'],59.27,18.2,291.27,13.69,['USA'],['Quaker BioVentures' 'Safeguard Scientifics' 'TPG Biotechnology Partners']
/funding-round/1fa94de6e3d9fe12c9292066b7f5151b,"[ 10000000 , 20000000 )",venture B,USA,['Industrials'],75.17,34.37,132.97,13.6,['USA'],['Menlo Ventures' 'New Enterprise Associates']
/funding-round/3281a93f1e43956d9794467c4c61a6e6,"[ 6000000 , 10000000 )",venture A,USA,['Industrials'],75.17,34.37,132.97,13.6,['USA'],['Menlo Ventures' 'New Enterprise Associates']
